       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
    1644.450447               60.0023195               30.3681076                   44.586
    1644.650353               60.0023196               30.3681078                   44.575
    1644.850353               60.0023196                30.368108                   44.567
    1645.050353               60.0023197               30.3681081                   44.567
    1645.250353               60.0023198               30.3681081                   44.577
    1645.450353               60.0023201               30.3681078                    44.59
    1645.650353               60.0023204               30.3681084                   44.542
    1645.850353               60.0023207               30.3681087                   44.503
    1646.050353               60.0023205                30.368109                   44.478
    1646.250353               60.0023206               30.3681092                   44.458
    1646.450353               60.0023208               30.3681093                   44.446
    1646.650259               60.0023211               30.3681096                   44.412
    1646.850259               60.0023215               30.3681094                   44.381
    1647.050259               60.0023221               30.3681088                   44.381
    1647.250259               60.0023224                30.368108                   44.371
    1647.450259               60.0023225               30.3681071                   44.385
    1647.650259               60.0023225               30.3681064                   44.346
    1647.850259               60.0023223               30.3681059                    44.34
    1648.050259               60.0023216               30.3681057                    44.34
    1648.250259               60.0023212               30.3681058                   44.322
    1648.450259               60.0023214               30.3681063                   44.319
    1648.650165               60.0023214               30.3681064                   44.362
    1648.850165               60.0023217               30.3681065                   44.341
    1649.050165               60.0023219               30.3681069                    44.35
    1649.250165               60.0023223               30.3681073                   44.334
    1649.450165               60.0023226               30.3681077                   44.329
    1649.650165               60.0023228               30.3681084                   44.325
    1649.850165                60.002323               30.3681091                   44.307
    1650.050165               60.0023229               30.3681098                   44.287
    1650.250165               60.0023229               30.3681107                   44.277
    1650.450165               60.0023228               30.3681114                   44.279
    1650.650071               60.0023226                30.368112                   44.253
    1650.850071               60.0023223               30.3681123                   44.225
    1651.050071               60.0023223               30.3681122                    44.24
    1651.250071               60.0023223               30.3681122                   44.225
    1651.450071               60.0023222               30.3681121                   44.228
    1651.650071               60.0023222               30.3681121                   44.227
    1651.850071               60.0023221               30.3681123                   44.199
    1652.050071               60.0023221               30.3681121                    44.21
    1652.250071               60.0023221               30.3681122                   44.199
    1652.450071               60.0023221               30.3681121                    44.21
    1652.649977                60.002322               30.3681122                   44.194
    1652.849977                60.002322               30.3681122                   44.188
    1653.049977               60.0023218               30.3681121                   44.183
    1653.249977               60.0023218               30.3681118                   44.192
    1653.449977               60.0023218               30.3681111                   44.162
    1653.649977               60.0023216               30.3681099                   44.169
    1653.849977               60.0023213               30.3681089                   44.142
    1654.049977               60.0023211               30.3681076                   44.179
    1654.249977               60.0023204               30.3681076                   44.165
    1654.449977               60.0023201               30.3681069                   44.125
    1654.649883                 60.00232               30.3681072                   44.141
    1654.849883               60.0023199               30.3681072                   44.105
    1655.049883               60.0023203               30.3681071                   44.107
    1655.249883               60.0023204               30.3681074                   44.128
    1655.449883               60.0023205               30.3681075                   44.127
    1655.649883               60.0023207               30.3681077                   44.128
    1655.849883               60.0023209               30.3681083                   44.065
    1656.049883               60.0023213               30.3681086                   44.089
    1656.249883               60.0023213               30.3681093                    44.08
    1656.449883               60.0023214               30.3681103                   44.036
    1656.649789               60.0023216               30.3681111                   44.057
    1656.849789               60.0023216               30.3681115                    44.06
    1657.049789               60.0023216                30.368112                   44.049
    1657.249789               60.0023216               30.3681122                   44.047
    1657.449789               60.0023216               30.3681123                   44.037
    1657.649789               60.0023216               30.3681124                   44.031
    1657.849789               60.0023215               30.3681124                   44.038
    1658.049789               60.0023215               30.3681125                   44.044
    1658.249789               60.0023215               30.3681126                   44.057
    1658.449789               60.0023215               30.3681127                   44.046
    1658.649695               60.0023216               30.3681126                   44.046
    1658.849695               60.0023215               30.3681126                   44.039
    1659.049695               60.0023216               30.3681127                   44.056
    1659.249695               60.0023215               30.3681128                   44.044
    1659.449695               60.0023215               30.3681127                   44.074
    1659.649695               60.0023215               30.3681126                   44.069
    1659.849695               60.0023216               30.3681126                   44.061
    1660.049695               60.0023217               30.3681128                   44.082
    1660.249695               60.0023216               30.3681128                   44.083
    1660.449695               60.0023216               30.3681129                   44.097
    1660.649605               60.0023217               30.3681128                   44.098
    1660.849605               60.0023216               30.3681127                   44.097
    1661.049605               60.0023215               30.3681126                   44.099
    1661.249605               60.0023216               30.3681124                   44.116
    1661.449605               60.0023215               30.3681123                   44.125
    1661.649605               60.0023216               30.3681125                   44.113
    1661.849605               60.0023216               30.3681124                   44.138
    1662.049605               60.0023217               30.3681126                   44.108
    1662.249605               60.0023217               30.3681127                   44.116
    1662.449605               60.0023217               30.3681126                   44.118
    1662.649515               60.0023217               30.3681126                   44.118
    1662.849515               60.0023218               30.3681125                    44.14
    1663.049515               60.0023217               30.3681124                   44.121
    1663.249515               60.0023217               30.3681121                   44.139
    1663.449515               60.0023218               30.3681124                   44.141
    1663.649515               60.0023218               30.3681119                   44.162
    1663.849515                60.002322               30.3681117                   44.192
    1664.049515                60.002322               30.3681115                   44.161
    1664.249515                60.002322               30.3681105                   44.176
    1664.449515                60.002322               30.3681096                   44.209
    1664.649413               60.0023218                30.368108                   44.259
    1664.849413               60.0023213               30.3681073                   44.285
    1665.049413                60.002321               30.3681061                   44.268
    1665.249413               60.0023209               30.3681064                   44.239
    1665.449413               60.0023207               30.3681063                   44.252
    1665.649413               60.0023208               30.3681062                   44.234
    1665.849413               60.0023207                30.368106                   44.233
    1666.049413               60.0023208               30.3681058                   44.206
    1666.249413                60.002321               30.3681062                   44.188
    1666.449413               60.0023211               30.3681063                   44.203
    1666.649319               60.0023215               30.3681063                   44.211
    1666.849319               60.0023218               30.3681065                   44.207
    1667.049319               60.0023219               30.3681071                   44.159
    1667.249319               60.0023222               30.3681075                   44.165
    1667.449319               60.0023222               30.3681082                   44.186
    1667.649319               60.0023222               30.3681089                   44.178
    1667.849319               60.0023223               30.3681092                   44.208
    1668.049319               60.0023222               30.3681093                     44.2
    1668.249319               60.0023221               30.3681095                   44.189
    1668.449319               60.0023222               30.3681093                    44.21
    1668.649225               60.0023221               30.3681094                   44.202
