       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
    2481.377144               60.0020794               30.3698002                   48.626
    2481.577144               60.0020794               30.3698001                   48.631
    2481.777144               60.0020793               30.3698001                    48.64
    2481.977144               60.0020791               30.3697999                   48.666
    2482.177144                60.002079               30.3697997                   48.679
    2482.377056               60.0020789               30.3697996                   48.689
    2482.577056               60.0020788               30.3697996                   48.695
    2482.777056               60.0020788               30.3697995                   48.702
    2482.977056               60.0020785               30.3697993                   48.734
    2483.177056               60.0020784                30.369799                   48.774
    2483.377056               60.0020783               30.3697989                   48.792
    2483.577056               60.0020782               30.3697988                    48.81
    2483.777056                60.002078                30.369799                   48.835
    2483.977056               60.0020778               30.3697998                   48.836
    2484.177056               60.0020778                  30.3698                   48.847
    2484.376967               60.0020778               30.3698001                    48.85
    2484.576967               60.0020778                  30.3698                   48.848
    2484.776967               60.0020778                  30.3698                   48.839
    2484.976967               60.0020782               30.3698002                   48.815
    2485.176967               60.0020783               30.3698003                   48.804
    2485.376967               60.0020783               30.3698003                     48.8
    2485.576967               60.0020783               30.3698003                   48.811
    2485.776967               60.0020783               30.3698003                   48.805
    2485.976967               60.0020785               30.3698004                   48.775
    2486.176967               60.0020786               30.3698005                   48.758
    2486.376879               60.0020786               30.3698006                   48.754
    2486.576879               60.0020786               30.3698006                    48.75
    2486.776879               60.0020786               30.3698006                   48.746
    2486.976879               60.0020789               30.3698008                   48.715
    2487.176879                60.002079               30.3698009                   48.694
    2487.376879                60.002079               30.3698009                   48.683
    2487.576879                60.002079                30.369801                   48.685
    2487.776879               60.0020789               30.3698011                   48.682
    2487.976879               60.0020794               30.3698014                   48.638
    2488.176879               60.0020795               30.3698016                   48.619
    2488.376790               60.0020795               30.3698015                   48.614
    2488.576790               60.0020796               30.3698015                   48.614
    2488.776790               60.0020796               30.3698015                   48.611
    2488.976790                 60.00208               30.3698019                    48.57
    2489.176790                 60.00208               30.3698019                   48.554
    2489.376790                 60.00208                30.369802                   48.543
    2489.576790                 60.00208                30.369802                   48.548
    2489.776790                 60.00208                30.369802                   48.545
    2489.976790               60.0020803               30.3698024                   48.509
    2490.176790               60.0020804               30.3698026                   48.499
    2490.376702               60.0020804               30.3698026                   48.497
    2490.576702               60.0020804               30.3698026                   48.496
    2490.776702               60.0020804               30.3698025                   48.493
    2490.976702               60.0020806               30.3698029                   48.471
    2491.176702               60.0020807               30.3698029                   48.462
    2491.376702               60.0020807                30.369803                   48.457
    2491.576702               60.0020807                30.369803                   48.455
    2491.776702               60.0020807                30.369803                   48.458
    2491.976702               60.0020809               30.3698034                   48.434
    2492.176702                60.002081               30.3698034                    48.42
    2492.376613                60.002081               30.3698035                   48.414
    2492.576613                60.002081               30.3698035                   48.417
    2492.776613               60.0020809               30.3698035                   48.413
    2492.976613               60.0020812               30.3698039                   48.389
    2493.176613               60.0020812                30.369804                   48.372
    2493.376613               60.0020812               30.3698039                   48.368
    2493.576613               60.0020813                30.369804                   48.371
    2493.776613               60.0020812                30.369804                   48.376
    2493.976613               60.0020813               30.3698044                   48.366
    2494.176613               60.0020813               30.3698044                   48.365
    2494.376530               60.0020813               30.3698044                   48.359
    2494.576530               60.0020813               30.3698044                   48.356
    2494.776530               60.0020813               30.3698044                   48.353
    2494.976530               60.0020813               30.3698047                   48.349
    2495.176530               60.0020814               30.3698048                    48.34
    2495.376530               60.0020813               30.3698048                    48.33
    2495.576530               60.0020814               30.3698049                   48.331
    2495.776530               60.0020813               30.3698048                    48.33
