       ÂÐÅÌß, Ñ              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     139.474758               60.0020839               30.3678819                   45.677
     139.674667               60.0020839               30.3678819                   45.678
     139.874667               60.0020842               30.3678818                   45.657
     140.074667               60.0020841               30.3678819                   45.648
     140.274667               60.0020842               30.3678819                   45.668
     140.474667               60.0020841               30.3678817                   45.775
     140.674667               60.0020838               30.3678811                   45.948
     140.874667                60.002084               30.3678799                   46.224
     141.074667               60.0020841               30.3678797                   46.519
     141.274667               60.0020841               30.3678796                   46.845
     141.474667               60.0020841               30.3678791                   47.159
     141.674577               60.0020842               30.3678788                   47.456
     141.874577               60.0020844               30.3678784                   47.719
     142.074577               60.0020845               30.3678785                   47.975
     142.274577               60.0020847               30.3678781                   48.251
     142.474577               60.0020851               30.3678778                   48.523
     142.674577               60.0020852               30.3678779                   48.793
     142.874577               60.0020853               30.3678774                   49.043
     143.074577               60.0020854               30.3678772                   49.282
     143.274577               60.0020854               30.3678768                     49.5
     143.474577               60.0020853               30.3678765                   49.819
     143.674487               60.0020852               30.3678761                   50.231
     143.874487               60.0020851               30.3678781                   50.744
     144.074487               60.0020851               30.3678796                   51.377
     144.274487               60.0020851               30.3678784                    51.98
     144.474487               60.0020851               30.3678782                   52.657
     144.674487               60.0020851               30.3678785                   53.363
     144.874487                60.002085               30.3678787                   54.077
     145.074487                60.002085               30.3678791                    54.75
     145.274487               60.0020851               30.3678795                   55.367
     145.474487                60.002085               30.3678793                   55.917
     145.674397               60.0020853                30.367879                   56.392
     145.874397               60.0020852               30.3678787                   56.685
     146.074397               60.0020852               30.3678789                    56.86
     146.274397               60.0020851               30.3678786                   56.879
     146.474397                60.002085               30.3678788                   56.841
     146.674397               60.0020849                30.367879                   56.724
     146.874397               60.0020848               30.3678794                   56.603
     147.074397               60.0020849               30.3678796                   56.445
     147.274397                60.002085                 30.36788                   56.322
     147.474397               60.0020854               30.3678799                   56.231
     147.674307               60.0020855               30.3678804                   56.126
     147.874307               60.0020856               30.3678805                   56.012
     148.074307               60.0020855               30.3678807                   55.908
     148.274307               60.0020849               30.3678813                   55.813
     148.474307               60.0020841               30.3678821                   55.753
     148.674307               60.0020829               30.3678826                   55.698
     148.874307               60.0020815               30.3678833                   55.688
     149.074307               60.0020797               30.3678838                   55.687
     149.274307               60.0020778               30.3678843                   55.659
     149.474307               60.0020759               30.3678847                   55.658
     149.674217                60.002074               30.3678855                   55.675
     149.874217               60.0020723               30.3678859                   55.721
     150.074217               60.0020703               30.3678862                   55.808
     150.274217               60.0020686               30.3678869                    55.96
     150.474217               60.0020672               30.3678873                   56.118
     150.674217               60.0020661               30.3678876                   56.335
     150.874217               60.0020653               30.3678881                   56.522
     151.074217               60.0020649               30.3678879                   56.701
     151.274217               60.0020646               30.3678878                   56.883
     151.474217               60.0020645               30.3678878                   57.047
     151.674127               60.0020642               30.3678879                     57.2
     151.874127               60.0020642               30.3678878                   57.366
     152.074127                60.002064               30.3678874                   57.479
     152.274127                60.002064               30.3678875                   57.575
     152.474127                60.002064               30.3678874                   57.656
     152.674127                60.002064               30.3678876                   57.674
     152.874127                60.002064               30.3678875                   57.656
     153.074127                60.002064               30.3678878                   57.616
     153.274127               60.0020642               30.3678877                   57.568
     153.474127               60.0020641               30.3678874                   57.536
     153.674037               60.0020643               30.3678875                    57.47
     153.874037               60.0020645               30.3678874                   57.454
     154.074037               60.0020648               30.3678876                   57.411
     154.274037                60.002065               30.3678876                   57.391
     154.474037               60.0020651               30.3678876                   57.364
     154.674037               60.0020652               30.3678874                    57.31
     154.874037               60.0020655               30.3678874                   57.284
     155.074037               60.0020656               30.3678873                    57.28
     155.274037               60.0020658               30.3678871                   57.285
     155.474037               60.0020659                30.367887                   57.281
     155.673948                60.002066                30.367887                   57.263
     155.873948               60.0020663               30.3678867                   57.243
     156.073948               60.0020665               30.3678866                   57.237
     156.273948               60.0020667               30.3678867                   57.224
     156.473948               60.0020669               30.3678867                   57.216
     156.673948               60.0020671               30.3678868                   57.243
     156.873948               60.0020674               30.3678867                   57.295
     157.073948               60.0020678               30.3678868                   57.335
     157.273948               60.0020685               30.3678869                   57.442
     157.473948               60.0020692               30.3678877                   57.605
     157.673863                 60.00207               30.3678878                   57.812
     157.873863                60.002071               30.3678884                   58.117
     158.073863               60.0020723               30.3678891                    58.45
     158.273863               60.0020738               30.3678897                   58.859
     158.473863               60.0020755               30.3678904                   59.305
     158.673863               60.0020774               30.3678916                    59.82
     158.873863               60.0020795               30.3678929                   60.379
     159.073863               60.0020816               30.3678939                   60.956
     159.273863               60.0020836               30.3678949                   61.533
     159.473863               60.0020854               30.3678964                   62.078
     159.673768               60.0020871               30.3678973                   62.573
     159.873768               60.0020887               30.3678983                   62.992
     160.073768               60.0020901               30.3678993                   63.338
     160.273768               60.0020912               30.3679004                   63.618
     160.473768               60.0020921               30.3679006                   63.844
     160.673768               60.0020927               30.3679013                   63.992
     160.873768                60.002093               30.3679019                   64.051
     161.073768               60.0020934               30.3679024                   64.107
     161.273768               60.0020935               30.3679031                   64.063
     161.473768               60.0020935               30.3679036                   64.015
     161.673679               60.0020937               30.3679044                   63.963
     161.873679               60.0020937               30.3679048                   63.923
     162.073679               60.0020937                30.367905                   63.845
     162.273679               60.0020938                30.367905                   63.799
     162.473679               60.0020939               30.3679054                    63.76
     162.673679                60.002094               30.3679056                   63.735
     162.873679               60.0020942               30.3679055                   63.678
     163.073679               60.0020945               30.3679053                   63.652
     163.273679               60.0020947                30.367905                   63.644
     163.473679               60.0020948               30.3679046                   63.634
     163.673589                60.002095               30.3679042                   63.612
     163.873589               60.0020952               30.3679039                   63.604
     164.073589               60.0020953               30.3679034                   63.604
     164.273589               60.0020955               30.3679029                   63.602
     164.473589               60.0020957               30.3679023                   63.593
