       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     906.308488               60.0028391               30.3637893                   60.458
     906.508488               60.0028393               30.3637896                   60.387
     906.708488               60.0028392               30.3637896                   60.388
     906.908488               60.0028393               30.3637895                    60.38
     907.108488               60.0028393               30.3637897                   60.389
     907.308488                60.002839               30.3637893                   60.444
     907.508488               60.0028389               30.3637893                    60.46
     907.708488               60.0028393                 30.36379                   60.387
     907.908488               60.0028401               30.3637911                    60.24
     908.108488               60.0028405               30.3637913                   60.078
     908.308394                60.002841               30.3637913                   60.031
     908.508394               60.0028414               30.3637907                   60.051
     908.708394               60.0028418                30.363789                   60.161
     908.908394               60.0028425               30.3637869                   60.323
     909.108394               60.0028431               30.3637845                   60.479
     909.308394               60.0028442               30.3637826                   60.532
     909.508394               60.0028457               30.3637804                   60.651
     909.708394                60.002846               30.3637768                    61.07
     909.908394               60.0028485               30.3637747                   60.938
     910.108394                60.002851               30.3637735                   60.721
     910.308299               60.0028529               30.3637717                   60.708
     910.508299               60.0028553               30.3637699                   60.673
     910.708299               60.0028576               30.3637675                   60.667
     910.908299               60.0028599               30.3637652                   60.606
     911.108299               60.0028621               30.3637629                   60.557
     911.308299               60.0028643               30.3637603                   60.594
     911.508299                60.002867               30.3637581                   60.571
     911.708299               60.0028698               30.3637565                   60.581
     911.908299               60.0028725                30.363754                   60.562
     912.108299               60.0028747               30.3637512                   60.555
     912.308205                60.002877               30.3637482                   60.561
     912.508205               60.0028793               30.3637461                   60.518
     912.708205               60.0028815               30.3637436                   60.461
     912.908205               60.0028833                30.363741                   60.484
     913.108205               60.0028855               30.3637382                    60.47
     913.308205               60.0028876               30.3637356                    60.46
     913.508205               60.0028893               30.3637325                   60.575
     913.708205               60.0028913               30.3637295                   60.635
     913.908205               60.0028938               30.3637268                   60.743
     914.108205               60.0028962               30.3637244                    60.62
     914.308111               60.0028985               30.3637217                   60.594
     914.508111               60.0029008               30.3637189                   60.581
     914.708111               60.0029034               30.3637169                   60.517
     914.908111               60.0029057                30.363714                   60.553
     915.108111                60.002908               30.3637113                   60.456
     915.308111               60.0029102               30.3637082                   60.504
     915.508111                60.002913               30.3637078                   60.155
     915.708111               60.0029157               30.3637053                   60.113
     915.908111               60.0029183               30.3637021                   60.153
     916.108111               60.0029203               30.3636992                   60.119
     916.308017               60.0029223               30.3636964                   60.123
     916.508017               60.0029245               30.3636939                   60.133
     916.708017                60.002927               30.3636915                   60.038
     916.908017               60.0029293               30.3636891                   60.111
     917.108017               60.0029317               30.3636863                   60.032
     917.308017               60.0029339               30.3636832                   59.993
     917.508017               60.0029366               30.3636815                   59.911
     917.708017                60.002939               30.3636793                   59.839
     917.908017               60.0029414               30.3636763                   59.858
     918.108017               60.0029436               30.3636734                   59.813
     918.307923                60.002946               30.3636709                   59.744
     918.507923               60.0029482               30.3636681                   59.809
     918.707923               60.0029504               30.3636653                   59.827
     918.907923               60.0029527               30.3636625                   59.848
     919.107923               60.0029549               30.3636595                   59.867
     919.307923                60.002957               30.3636565                   59.846
     919.507923               60.0029591               30.3636536                   59.886
     919.707923               60.0029613               30.3636507                   59.844
     919.907923               60.0029636               30.3636481                   59.866
     920.107923               60.0029658               30.3636449                   59.881
     920.307830                60.002968               30.3636419                   59.869
     920.507830               60.0029702                30.363639                   59.885
     920.707830               60.0029727               30.3636362                   59.887
     920.907830               60.0029751               30.3636334                   59.901
     921.107830               60.0029773               30.3636308                   59.893
     921.307830               60.0029794               30.3636282                   59.855
     921.507830               60.0029815               30.3636252                   59.871
     921.707830               60.0029841               30.3636233                   59.871
     921.907830               60.0029865               30.3636209                   59.859
     922.107830               60.0029887               30.3636183                    59.83
     922.307735               60.0029908               30.3636156                   59.783
     922.507735               60.0029932               30.3636131                    59.76
     922.707735               60.0029957               30.3636108                   59.761
     922.907735               60.0029982               30.3636088                   59.745
     923.107735               60.0030001               30.3636064                    59.72
     923.307735                60.003002               30.3636035                    59.65
     923.507735               60.0030038               30.3636009                   59.688
     923.707735               60.0030062               30.3635987                    59.69
     923.907735                60.003009               30.3635974                   59.621
     924.107735               60.0030113               30.3635945                   59.632
     924.307641               60.0030131               30.3635912                   59.624
     924.507641               60.0030141               30.3635867                   59.679
     924.707641               60.0030153               30.3635836                   59.722
     924.907641               60.0030168               30.3635811                   59.724
     925.107641               60.0030188               30.3635795                   59.747
     925.307641                60.003021               30.3635768                   59.735
     925.507641               60.0030232               30.3635745                   59.711
     925.707641               60.0030254               30.3635723                   59.753
     925.907641               60.0030275               30.3635706                   59.739
     926.107641               60.0030293               30.3635685                   59.723
     926.307547               60.0030306               30.3635676                    59.71
     926.507547               60.0030324               30.3635655                   59.634
     926.707547                60.003034               30.3635649                   59.658
     926.907547               60.0030355               30.3635659                   59.625
     927.107547               60.0030371               30.3635671                   59.546
     927.307547               60.0030388               30.3635694                   59.553
     927.507547               60.0030403               30.3635722                    59.52
     927.707547                60.003042                30.363576                   59.583
     927.907547               60.0030437               30.3635801                   59.612
     928.107547                60.003045               30.3635848                   59.587
     928.307453               60.0030466               30.3635896                   59.623
     928.507453               60.0030483               30.3635944                   59.636
     928.707453               60.0030499                30.363599                   59.615
     928.907453               60.0030514                30.363603                    59.62
     929.107453               60.0030528               30.3636079                   59.574
     929.307453               60.0030541               30.3636122                   59.566
     929.507453               60.0030556               30.3636168                   59.523
     929.707453               60.0030573               30.3636219                   59.566
     929.907453               60.0030584               30.3636261                   59.558
     930.107453                 60.00306                30.363631                   59.523
     930.307359               60.0030613               30.3636356                    59.59
     930.507359               60.0030628               30.3636405                   59.557
     930.707359               60.0030643               30.3636465                   59.467
     930.907359               60.0030658               30.3636509                   59.479
     931.107359               60.0030671               30.3636567                   59.415
     931.307359               60.0030687               30.3636613                   59.423
     931.507359               60.0030702               30.3636662                   59.371
     931.707359                60.003072               30.3636713                    59.37
     931.907359               60.0030735               30.3636763                   59.406
     932.107359               60.0030749               30.3636803                   59.316
     932.307265               60.0030764               30.3636854                   59.308
     932.507265               60.0030779               30.3636892                   59.284
     932.707265               60.0030792               30.3636931                   59.208
     932.907265               60.0030808               30.3636957                   59.327
     933.107265               60.0030819               30.3636981                   59.376
     933.307265               60.0030832               30.3637015                   59.457
     933.507265               60.0030845               30.3637062                   59.384
     933.707265               60.0030857               30.3637119                   59.358
     933.907265               60.0030873               30.3637171                   59.352
     934.107265               60.0030887                30.363722                   59.306
     934.307171               60.0030901               30.3637275                   59.288
     934.507171               60.0030914               30.3637323                   59.288
     934.707171               60.0030929               30.3637379                   59.207
     934.907171               60.0030945               30.3637424                   59.212
     935.107171               60.0030955               30.3637473                   59.175
     935.307171               60.0030966               30.3637521                   59.174
     935.507171               60.0030975               30.3637561                   59.203
     935.707171               60.0030991               30.3637599                    59.18
     935.907171                  60.0031               30.3637637                   59.179
     936.107171               60.0031008               30.3637668                   59.169
     936.307084               60.0031011               30.3637699                   59.108
     936.507084                60.003101               30.3637734                    59.11
     936.707084               60.0031007               30.3637771                   59.076
     936.907084               60.0031001               30.3637794                   59.083
     937.107084                60.003099               30.3637816                   59.093
     937.307084               60.0030975               30.3637837                   59.096
     937.507084               60.0030956               30.3637868                   59.185
     937.707084               60.0030932               30.3637904                   59.122
     937.907084               60.0030906               30.3637941                   59.085
     938.107084               60.0030884               30.3637973                   59.093
     938.306982                60.003086               30.3638005                   59.033
     938.506982               60.0030834               30.3638031                   59.057
     938.706982               60.0030805               30.3638065                    58.97
     938.906982                60.003078               30.3638102                   58.909
     939.106982               60.0030758               30.3638132                   58.941
     939.306982               60.0030734               30.3638166                   58.825
     939.506982               60.0030711               30.3638197                   58.866
     939.706982               60.0030685               30.3638237                    58.74
     939.906982                60.003066               30.3638277                   58.649
     940.106982               60.0030641               30.3638304                   58.633
     940.306893               60.0030616               30.3638334                    58.57
     940.506893               60.0030591               30.3638362                   58.572
     940.706893               60.0030568                30.363839                   58.539
     940.906893               60.0030545               30.3638422                   58.476
     941.106893               60.0030524               30.3638454                   58.499
     941.306893               60.0030501               30.3638485                   58.432
     941.506893               60.0030475               30.3638515                   58.454
     941.706893               60.0030458                30.363855                   58.442
     941.906893               60.0030439               30.3638588                   58.383
     942.106893                60.003042                30.363862                   58.424
     942.306794               60.0030397               30.3638643                    58.38
     942.506794               60.0030375               30.3638672                   58.351
     942.706794               60.0030353                 30.36387                    58.34
     942.906794               60.0030332               30.3638733                   58.285
     943.106794               60.0030311                30.363876                   58.319
     943.306794               60.0030289               30.3638785                   58.266
     943.506794               60.0030265               30.3638814                   58.305
     943.706794               60.0030243               30.3638844                   58.303
     943.906794               60.0030221               30.3638878                   58.292
     944.106794                 60.00302               30.3638908                   58.319
     944.306700               60.0030179               30.3638933                   58.253
     944.506700               60.0030155               30.3638964                   58.273
     944.706700               60.0030132               30.3638995                    58.27
     944.906700                60.003011               30.3639026                   58.239
     945.106700                60.003009               30.3639058                   58.232
     945.306700               60.0030066               30.3639081                   58.222
     945.506700               60.0030041               30.3639109                   58.229
     945.706700               60.0030019                30.363914                   58.283
     945.906700               60.0029994               30.3639175                   58.252
     946.106700               60.0029973               30.3639206                   58.305
     946.306606               60.0029949                30.363923                   58.264
     946.506606               60.0029924                30.363926                   58.307
     946.706606               60.0029902               30.3639293                   58.282
     946.906606               60.0029881               30.3639326                   58.271
     947.106606               60.0029861                30.363936                   58.247
     947.306606               60.0029838               30.3639386                   58.181
     947.506606               60.0029814               30.3639416                   58.215
     947.706606               60.0029792               30.3639448                   58.241
     947.906606               60.0029773               30.3639482                   58.087
     948.106606                60.002975               30.3639517                   58.145
     948.306512               60.0029728               30.3639539                   58.151
     948.506512               60.0029704               30.3639569                   58.158
     948.706512               60.0029679               30.3639597                   58.281
     948.906512               60.0029653               30.3639622                   58.388
     949.106512               60.0029629               30.3639645                   58.474
     949.306512               60.0029607                30.363967                    58.49
     949.506512               60.0029588               30.3639703                   58.489
     949.706512               60.0029567               30.3639729                   58.546
     949.906512               60.0029543               30.3639759                   58.543
     950.106512               60.0029521               30.3639793                   58.589
     950.306418               60.0029496               30.3639818                   58.576
     950.506418               60.0029474               30.3639848                   58.582
     950.706418               60.0029452               30.3639876                   58.636
     950.906418               60.0029435               30.3639914                   58.633
     951.106418               60.0029414               30.3639945                    58.63
     951.306418               60.0029391               30.3639968                    58.63
     951.506418               60.0029372               30.3639991                   58.597
     951.706418               60.0029349               30.3640018                    58.65
     951.906418               60.0029327               30.3640055                   58.615
     952.106418               60.0029306               30.3640073                   58.641
     952.306324               60.0029285               30.3640102                   58.626
     952.506324               60.0029265               30.3640131                   58.637
     952.706324               60.0029242               30.3640157                   58.665
     952.906324               60.0029222               30.3640186                   58.612
     953.106324               60.0029203               30.3640225                   58.646
     953.306324               60.0029182               30.3640253                   58.608
     953.506324                60.002916               30.3640278                   58.623
     953.706324               60.0029137                30.364031                   58.662
     953.906324               60.0029114                30.364034                   58.635
     954.106324               60.0029091               30.3640369                   58.678
     954.306230               60.0029069               30.3640396                   58.688
     954.506230               60.0029042               30.3640427                   58.703
     954.706230               60.0029013               30.3640457                   58.885
     954.906230               60.0028995               30.3640489                   58.818
     955.106230               60.0028974               30.3640523                   58.838
     955.306230               60.0028952               30.3640549                   58.829
     955.506230                60.002893               30.3640578                   58.811
     955.706230               60.0028909               30.3640612                   58.842
     955.906230               60.0028889               30.3640649                   58.658
     956.106230                60.002887               30.3640679                    58.72
     956.306136                60.002885               30.3640706                   58.731
     956.506136                60.002883               30.3640731                   58.665
     956.706136               60.0028808                30.364075                   58.736
     956.906136               60.0028789               30.3640771                   58.752
     957.106136               60.0028769               30.3640792                   58.739
     957.306136               60.0028738               30.3640807                    58.69
     957.506136                60.002872                30.364081                    58.64
     957.706136               60.0028701               30.3640808                   58.627
