       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     170.705869               60.0028738               30.3639603                   62.368
     170.905869               60.0028737                 30.36396                    62.37
     171.105869               60.0028738               30.3639597                   62.363
     171.305775               60.0028736                 30.36396                   62.373
     171.505775               60.0028736               30.3639601                   62.389
     171.705775               60.0028736               30.3639598                   62.396
     171.905775               60.0028736               30.3639595                   62.397
     172.105775               60.0028736               30.3639593                   62.395
     172.305682               60.0028736               30.3639589                   62.369
     172.505682               60.0028736               30.3639588                   62.353
     172.705682               60.0028736               30.3639592                   62.345
     172.905682               60.0028736               30.3639589                   62.366
     173.105682               60.0028736                30.363959                   62.382
     173.305682               60.0028736                30.363959                   62.393
     173.505682               60.0028735               30.3639586                   62.401
     173.705682               60.0028736               30.3639588                   62.398
     173.905682               60.0028736               30.3639586                   62.392
     174.105682               60.0028735               30.3639586                   62.398
     174.305588               60.0028735               30.3639587                   62.405
     174.505588               60.0028735               30.3639586                   62.407
     174.705588               60.0028736               30.3639587                   62.398
     174.905588               60.0028736               30.3639586                   62.393
     175.305588               60.0028736               30.3639586                   62.395
     175.505588               60.0028736               30.3639586                   62.399
     175.705588               60.0028736               30.3639585                     62.4
     175.905588               60.0028736               30.3639588                   62.394
     176.105588               60.0028736               30.3639587                   62.395
     176.305500               60.0028736               30.3639588                   62.397
     176.505500               60.0028737               30.3639588                   62.401
     176.705500               60.0028737               30.3639588                   62.405
     176.905500               60.0028737               30.3639589                   62.405
     177.105500               60.0028737               30.3639587                   62.403
     177.305500               60.0028736               30.3639588                   62.407
     177.505500               60.0028737               30.3639588                   62.404
     177.705500               60.0028737               30.3639589                   62.399
     177.905500               60.0028737               30.3639586                   62.397
     178.105500               60.0028737               30.3639586                   62.398
     178.305401               60.0028737               30.3639585                   62.398
     178.505401               60.0028737               30.3639586                   62.399
     178.705401               60.0028737               30.3639586                   62.399
     178.905401               60.0028737               30.3639582                   62.403
     179.105401               60.0028737               30.3639581                   62.404
     179.305401               60.0028736                30.363958                     62.4
     179.505401               60.0028737                30.363958                   62.398
     179.705401               60.0028737               30.3639581                   62.395
     179.905401               60.0028737                30.363958                   62.389
     180.105401               60.0028737               30.3639579                   62.385
     180.305309               60.0028737               30.3639578                   62.378
     180.505309               60.0028737               30.3639579                   62.382
     180.705309               60.0028737               30.3639579                   62.379
     180.905309               60.0028736               30.3639576                   62.362
     181.105309               60.0028736               30.3639576                   62.338
     181.305309               60.0028738               30.3639576                   62.343
     181.505309               60.0028736               30.3639578                   62.343
     181.705309               60.0028737               30.3639576                   62.339
     181.905309               60.0028737               30.3639576                   62.344
     182.105309               60.0028736                30.363958                   62.354
     182.305213               60.0028736               30.3639577                   62.369
     182.505213               60.0028737               30.3639576                   62.382
     182.705213               60.0028738                30.363958                   62.381
     182.905213               60.0028737               30.3639579                   62.388
     183.105213               60.0028737                30.363958                   62.386
     183.305213               60.0028737               30.3639578                   62.383
     183.505213               60.0028737               30.3639576                   62.386
     183.705213               60.0028737               30.3639578                   62.385
     183.905213               60.0028736               30.3639576                   62.377
     184.105213               60.0028736               30.3639575                   62.374
     184.305121               60.0028736               30.3639575                   62.375
     184.505121               60.0028736               30.3639575                   62.363
     184.705121               60.0028736               30.3639575                   62.367
     184.905121               60.0028736               30.3639576                   62.369
     185.105121               60.0028736               30.3639575                   62.375
     185.305121               60.0028735               30.3639575                   62.368
     185.505121               60.0028735               30.3639576                   62.368
     185.705121               60.0028735               30.3639576                   62.371
     185.905121               60.0028734               30.3639578                   62.372
     186.105121               60.0028735               30.3639578                   62.374
     186.305025               60.0028735               30.3639578                   62.376
     186.505025               60.0028734               30.3639578                   62.376
     186.705025               60.0028735               30.3639578                   62.378
     186.905025               60.0028734               30.3639578                   62.365
     187.105025               60.0028734               30.3639577                   62.359
     187.305025               60.0028734               30.3639577                   62.358
     187.505025               60.0028734               30.3639578                   62.353
     187.705025               60.0028734               30.3639577                   62.356
     187.905025               60.0028733               30.3639576                   62.355
     188.105025               60.0028733               30.3639576                   62.355
     188.304932               60.0028733               30.3639575                   62.355
     188.504932               60.0028733               30.3639576                   62.355
     188.704932               60.0028733               30.3639576                   62.356
     188.904932               60.0028733               30.3639571                   62.353
     189.104932               60.0028733                30.363957                   62.348
     189.304932               60.0028733               30.3639569                   62.347
     189.504932               60.0028733               30.3639569                    62.35
     189.704932               60.0028732                30.363957                   62.342
     189.904932               60.0028732                30.363957                   62.334
     190.104932               60.0028731               30.3639567                   62.321
     190.304838               60.0028731               30.3639567                   62.325
     190.504838               60.0028732                30.363957                   62.329
     190.704838               60.0028732               30.3639569                   62.411
     190.904838               60.0028737               30.3639568                   62.445
     191.104838               60.0028739               30.3639564                   62.589
     191.304838               60.0028738                30.363956                   62.753
     191.504838               60.0028739               30.3639561                   62.903
     191.704838               60.0028738               30.3639562                   63.084
     191.904838               60.0028739               30.3639566                   63.262
     192.104838               60.0028737               30.3639568                   63.457
     192.304744               60.0028734               30.3639571                   63.593
     192.504744               60.0028733               30.3639572                   63.706
     192.704744               60.0028733               30.3639578                   63.831
     192.904744               60.0028733               30.3639577                   63.859
     193.104744               60.0028734                30.363958                   63.941
     193.304744               60.0028733               30.3639576                   64.008
     193.504744               60.0028732               30.3639581                   64.054
     193.704744               60.0028728               30.3639585                   64.106
     193.904744               60.0028726                30.363958                   64.156
     194.104744               60.0028723               30.3639582                   64.166
     194.304650               60.0028723               30.3639583                   64.157
     194.504650               60.0028723               30.3639584                   64.124
     194.704650               60.0028725               30.3639588                   64.122
     194.904650               60.0028725               30.3639585                   64.115
     195.104650               60.0028725               30.3639586                   64.103
     195.304650               60.0028724               30.3639588                   64.092
     195.504650               60.0028724               30.3639589                   64.089
     195.704650               60.0028724               30.3639589                   64.075
     195.904650               60.0028724               30.3639589                   64.058
     196.104650               60.0028724               30.3639586                   64.047
     196.304557               60.0028728               30.3639584                   64.042
     196.504557               60.0028732               30.3639581                   64.039
     196.704557               60.0028736                30.363958                   64.036
     196.904557                60.002874               30.3639587                   64.008
     197.104557               60.0028742                30.363959                   63.956
     197.304557               60.0028748               30.3639584                   63.955
     197.504557               60.0028755               30.3639567                   63.958
     197.704557               60.0028759               30.3639552                   63.967
     197.904557               60.0028762               30.3639526                   63.948
     198.104557               60.0028763               30.3639503                   63.958
     198.304463               60.0028764               30.3639481                   63.979
     198.504463               60.0028766               30.3639463                   64.008
     198.704463               60.0028769               30.3639442                   64.002
     198.904463                60.002877               30.3639417                   64.009
     199.104463               60.0028772               30.3639388                   64.018
     199.304463               60.0028771                30.363936                   64.028
     199.504463               60.0028769               30.3639337                   64.025
     199.704463               60.0028763               30.3639315                   64.025
     199.904463               60.0028762               30.3639306                   64.051
     200.104463               60.0028759               30.3639302                   64.055
     200.304369               60.0028752               30.3639295                   64.071
     200.504369               60.0028747               30.3639289                    64.07
     200.704369               60.0028743               30.3639282                   64.075
     200.904369               60.0028743               30.3639274                   64.102
     201.104369               60.0028746               30.3639265                   64.135
     201.304369               60.0028738               30.3639254                   64.148
