       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     210.799198               60.0028783               30.3639545                    61.61
     210.999198               60.0028783               30.3639545                   61.613
     211.199198               60.0028783               30.3639545                   61.618
     211.399198               60.0028783               30.3639545                   61.616
     211.599198               60.0028783               30.3639544                   61.615
     211.799198               60.0028783               30.3639545                   61.618
     211.999198               60.0028783               30.3639545                   61.614
     212.199198               60.0028783               30.3639545                    61.62
     212.399198               60.0028783               30.3639545                   61.618
     212.599107               60.0028783               30.3639545                   61.618
     212.799107               60.0028783               30.3639545                   61.614
     212.999107               60.0028783               30.3639546                   61.618
     213.199107               60.0028783               30.3639545                   61.622
     213.399107               60.0028783               30.3639546                   61.615
     213.599107               60.0028783               30.3639546                   61.619
     213.799107               60.0028783               30.3639546                   61.615
     213.999107               60.0028783               30.3639546                   61.617
     214.199107               60.0028783               30.3639546                    61.62
     214.399107               60.0028783               30.3639546                   61.617
     214.599017               60.0028783               30.3639546                    61.62
     214.799017               60.0028783               30.3639546                   61.618
     214.999017               60.0028783               30.3639546                   61.615
     215.199017               60.0028783               30.3639546                   61.619
     215.399017               60.0028783               30.3639546                   61.621
     215.599017               60.0028783               30.3639546                   61.619
     215.799017               60.0028783               30.3639546                   61.624
     215.999017               60.0028783               30.3639546                   61.622
     216.199017               60.0028783               30.3639546                   61.617
     216.399017               60.0028783               30.3639545                    61.62
     216.598926               60.0028783               30.3639546                   61.619
     216.798926               60.0028783               30.3639546                   61.623
     216.998926               60.0028783               30.3639545                   61.626
     217.198926               60.0028783               30.3639545                   61.633
     217.398926               60.0028783               30.3639546                    61.63
     217.598926               60.0028783               30.3639546                   61.633
     217.798926               60.0028782               30.3639545                   61.629
     217.998926               60.0028782               30.3639545                   61.633
     218.198926               60.0028783               30.3639545                   61.636
     218.398926               60.0028783               30.3639546                   61.642
     218.598835               60.0028783               30.3639546                    61.63
     218.798835               60.0028783               30.3639546                   61.629
     218.998835               60.0028783               30.3639546                    61.63
     219.198835               60.0028782               30.3639546                   61.624
     219.398835               60.0028783               30.3639547                    61.63
     219.598835               60.0028784               30.3639547                    61.63
     219.798835               60.0028784               30.3639546                   61.624
     219.998835               60.0028783               30.3639546                    61.62
     220.198835               60.0028784               30.3639547                   61.623
     220.398835               60.0028783               30.3639545                   61.628
     220.598745               60.0028783               30.3639544                   61.634
     220.798745               60.0028783               30.3639543                   61.635
     220.998745               60.0028783               30.3639544                   61.631
     221.198745               60.0028783               30.3639544                   61.634
     221.398745               60.0028783               30.3639545                   61.634
     221.598745               60.0028783               30.3639545                   61.634
     221.798745               60.0028785               30.3639543                   61.715
     221.998745               60.0028787                30.363954                   61.789
     222.198745               60.0028788               30.3639542                   61.927
     222.398745               60.0028783               30.3639535                   62.146
     222.598654               60.0028785               30.3639534                   62.407
     222.798654               60.0028783               30.3639537                   62.686
     222.998654               60.0028782               30.3639539                   62.912
     223.198654                60.002878               30.3639535                    63.02
     223.398654               60.0028779               30.3639533                   63.056
     223.598654                60.002878               30.3639532                   63.128
     223.798654               60.0028779               30.3639534                   63.207
     223.998654               60.0028779               30.3639535                   63.225
     224.198654               60.0028778               30.3639535                   63.287
     224.398654               60.0028778               30.3639536                   63.291
     224.598563               60.0028778               30.3639533                   63.309
     224.798563               60.0028778               30.3639534                   63.332
     224.998563               60.0028779               30.3639537                   63.334
     225.198563                60.002878               30.3639543                   63.327
     225.398563               60.0028781               30.3639548                    63.34
     225.598563               60.0028783                30.363955                   63.336
     225.798563               60.0028785               30.3639554                   63.342
     225.998563               60.0028786               30.3639557                   63.355
     226.198563               60.0028785                30.363956                   63.394
     226.398563               60.0028785               30.3639563                   63.431
     226.598473               60.0028785               30.3639568                    63.44
     226.798473               60.0028787               30.3639572                   63.458
     226.998473               60.0028786               30.3639571                   63.458
     227.198473               60.0028788               30.3639563                    63.46
     227.398473               60.0028789               30.3639555                   63.425
     227.598473               60.0028787               30.3639553                   63.416
     227.798473               60.0028786               30.3639551                    63.43
     227.998473               60.0028788                30.363955                   63.414
     228.198473               60.0028791               30.3639546                   63.415
     228.398473               60.0028792               30.3639538                    63.42
     228.598382               60.0028792               30.3639535                   63.416
     228.798382               60.0028793               30.3639533                   63.415
     228.998382               60.0028793               30.3639533                   63.413
     229.198382               60.0028794               30.3639532                   63.416
     229.398382               60.0028797               30.3639533                   63.396
     229.598382               60.0028798                30.363953                   63.397
     229.798382               60.0028797               30.3639531                   63.343
