       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     149.801934               60.0029437                30.363834                    61.91
     150.001934               60.0029437                30.363834                   61.912
     150.201934               60.0029437                30.363834                   61.919
     150.401934               60.0029437                30.363834                   61.919
     150.601934               60.0029437                30.363834                   61.925
     150.801934               60.0029437               30.3638338                   61.916
     151.201843               60.0029437               30.3638338                   61.912
     151.401843               60.0029438               30.3638338                   61.907
     151.601843               60.0029438               30.3638338                   61.915
     151.801843               60.0029441               30.3638347                   61.907
     152.001843               60.0029441               30.3638347                   61.902
     152.201843               60.0029441               30.3638347                   61.905
     152.401843               60.0029441               30.3638347                   61.907
     152.601843               60.0029441               30.3638347                   61.907
     152.801843               60.0029446                30.363835                   61.868
     153.001843               60.0029446               30.3638351                   61.859
     153.201752               60.0029446               30.3638351                   61.853
     153.401752               60.0029446               30.3638351                    61.85
     153.601752               60.0029446               30.3638351                   61.844
     153.801752               60.0029447               30.3638351                   61.841
     154.001752               60.0029447               30.3638351                    61.84
     154.201752               60.0029447               30.3638351                   61.839
     154.401752               60.0029447               30.3638351                   61.842
     154.601752               60.0029447               30.3638351                   61.842
     154.801752               60.0029446               30.3638346                   61.841
     155.001752               60.0029446               30.3638346                   61.843
     155.201660               60.0029446               30.3638346                   61.847
     155.401660               60.0029446               30.3638346                   61.844
     155.601660               60.0029446               30.3638346                    61.84
     155.801660               60.0029445               30.3638343                   61.848
     156.001660               60.0029444               30.3638343                   61.866
     156.201660               60.0029444               30.3638342                   61.861
     156.401660               60.0029444               30.3638343                   61.846
     156.601660               60.0029444               30.3638343                   61.854
     156.801660               60.0029434                30.363833                   61.881
     157.201569               60.0029434               30.3638329                   61.893
     157.401569               60.0029434               30.3638329                     61.9
     157.601569               60.0029434               30.3638329                   61.907
     157.801569               60.0029427               30.3638322                   61.937
     158.001569               60.0029427               30.3638322                    61.95
     158.201569               60.0029427               30.3638322                    61.95
     158.401569               60.0029427               30.3638322                   61.953
     158.601569               60.0029427               30.3638322                   61.944
     158.801569               60.0029421               30.3638321                   61.972
     159.001569               60.0029421               30.3638321                   61.989
     159.201478               60.0029421               30.3638321                   61.995
     159.401478               60.0029422               30.3638321                   62.002
     159.601478               60.0029422               30.3638321                   62.003
     159.801478                60.002942               30.3638318                   62.012
     160.001478               60.0029419               30.3638318                   62.013
     160.201478               60.0029419               30.3638319                   62.008
     160.401478               60.0029419               30.3638319                   61.998
     160.601478                60.002942               30.3638318                   62.007
     160.801478               60.0029419               30.3638321                    62.01
     161.001478               60.0029419               30.3638321                   62.014
     161.201386               60.0029419               30.3638321                   62.012
     161.401386               60.0029419               30.3638321                   62.009
     161.601386                60.002942               30.3638321                   62.009
     161.801386               60.0029417               30.3638324                   62.027
     162.001386               60.0029417               30.3638324                   62.032
     162.201386               60.0029417               30.3638324                   62.033
     162.401386               60.0029416               30.3638325                   62.029
     162.601386               60.0029417               30.3638324                   62.025
     162.801386               60.0029416               30.3638327                   62.018
     163.001386               60.0029417               30.3638327                   62.018
     163.201295               60.0029416               30.3638327                   62.017
     163.401295               60.0029417               30.3638326                    62.01
     163.601295               60.0029416               30.3638326                   62.017
     163.801295               60.0029419               30.3638326                   61.993
     164.001295               60.0029419               30.3638326                    61.99
     164.201295               60.0029418               30.3638327                    61.98
     164.401295               60.0029419               30.3638327                   61.985
     164.601295               60.0029419               30.3638326                   61.992
     164.801295               60.0029418                30.363833                   61.989
     165.001295               60.0029418                30.363833                   61.982
     165.201209               60.0029418               30.3638331                   61.971
     165.401209               60.0029418               30.3638331                   61.971
     165.601209               60.0029418               30.3638331                   61.977
     165.801209               60.0029417               30.3638329                   61.973
     166.001209               60.0029417               30.3638329                   61.972
     166.201209               60.0029418               30.3638329                   61.968
     166.401209               60.0029418               30.3638329                   61.973
     166.601209               60.0029418               30.3638328                   61.989
     166.801209               60.0029419               30.3638334                   61.977
     167.001209               60.0029419               30.3638334                   61.976
     167.201113               60.0029419               30.3638334                    61.97
     167.401113               60.0029419               30.3638334                    61.97
     167.601113               60.0029419               30.3638334                   61.979
     167.801113               60.0029422               30.3638334                   61.961
     168.001113               60.0029422               30.3638335                   61.941
     168.201113               60.0029422               30.3638335                   61.936
     168.401113               60.0029422               30.3638335                   61.942
     168.601113               60.0029421               30.3638335                   61.949
     168.801113               60.0029421                30.363833                   61.958
     169.001113               60.0029422                30.363833                   61.949
     169.201020               60.0029422                30.363833                   61.947
     169.401020               60.0029422               30.3638331                   61.941
     169.601020               60.0029421                30.363833                   61.948
     169.801020               60.0029423               30.3638335                    61.94
