       ВРЕМЯ, С              NP_LATITUDE             NP_LONGITUDE              NP_ALTITUDE
     124.489673               60.0029467               30.3638506                   62.205
     124.689673               60.0029467               30.3638506                   62.205
     124.889582               60.0029467               30.3638506                   62.208
     125.089582               60.0029467               30.3638506                   62.205
     125.289582               60.0029467               30.3638506                   62.208
     125.489582               60.0029467               30.3638506                   62.203
     125.689582               60.0029467               30.3638506                   62.207
     125.889582               60.0029467               30.3638506                   62.205
     126.089582               60.0029468               30.3638506                   62.202
     126.289582               60.0029468               30.3638506                   62.209
     126.489582               60.0029467               30.3638506                   62.208
     126.689582               60.0029468               30.3638506                   62.204
     126.889496               60.0029467               30.3638506                   62.202
     127.089496               60.0029467               30.3638506                   62.204
     127.289496               60.0029468               30.3638506                   62.207
     127.489496               60.0029467               30.3638506                   62.202
     127.689496               60.0029467               30.3638506                   62.204
     127.889496               60.0029467               30.3638506                   62.202
     128.089496               60.0029467               30.3638506                   62.198
     128.289496               60.0029467               30.3638506                   62.202
     128.489496               60.0029467               30.3638506                   62.203
     128.689496               60.0029467               30.3638506                   62.199
     128.889401               60.0029467               30.3638506                   62.205
     129.089401               60.0029467               30.3638506                   62.206
     129.289401               60.0029467               30.3638507                   62.202
     129.489401               60.0029467               30.3638507                   62.204
     129.689401               60.0029467               30.3638507                   62.204
     129.889401               60.0029467               30.3638507                   62.195
     130.089401               60.0029467               30.3638507                     62.2
     130.289401               60.0029467               30.3638507                   62.205
     130.489401               60.0029468               30.3638507                   62.198
     130.689401               60.0029467               30.3638507                   62.194
     130.889310               60.0029467               30.3638507                   62.195
     131.089310               60.0029467               30.3638507                   62.195
     131.289310               60.0029467               30.3638507                   62.202
     131.489310               60.0029467               30.3638507                   62.196
     131.689310               60.0029467               30.3638507                   62.198
     131.889310               60.0029467               30.3638507                   62.198
     132.089310               60.0029467               30.3638507                   62.191
     132.289310               60.0029467               30.3638506                   62.186
     132.489310               60.0029467               30.3638507                   62.187
     132.689310               60.0029467               30.3638506                   62.202
     132.889219               60.0029467               30.3638506                   62.201
     133.089219               60.0029467               30.3638506                   62.202
     133.289219               60.0029467               30.3638506                   62.201
     133.489219               60.0029466               30.3638506                   62.207
     133.689219               60.0029466               30.3638506                   62.214
     133.889219               60.0029466               30.3638505                   62.238
     134.089219               60.0029468               30.3638502                   62.306
     134.289219                60.002947               30.3638499                   62.398
     134.489219               60.0029472               30.3638496                    62.52
     134.689219               60.0029479               30.3638466                   62.814
     134.889128               60.0029479               30.3638462                   63.041
     135.089128                60.002948               30.3638461                   63.247
     135.289128                60.002948                30.363846                   63.479
     135.489128               60.0029479                30.363846                   63.679
     135.689128               60.0029477               30.3638461                   63.834
     135.889128               60.0029474               30.3638466                   63.962
     136.089128               60.0029473               30.3638471                    64.05
     136.289128               60.0029473               30.3638476                   64.089
     136.489128               60.0029474                30.363848                   64.114
     136.689128               60.0029475               30.3638483                   64.113
     136.889037               60.0029475               30.3638481                   64.121
     137.089037               60.0029475                30.363848                   64.128
     137.289037               60.0029475               30.3638479                   64.123
     137.489037               60.0029476               30.3638476                   64.127
     137.689037               60.0029476               30.3638472                    64.13
     137.889037               60.0029476               30.3638471                   64.132
     138.089037               60.0029476                30.363847                   64.134
     138.289037               60.0029476               30.3638469                   64.122
     138.489037               60.0029477               30.3638468                   64.123
